tag,test_score_mean_avg,test_score_std_avg,test_clip_max_rate_avg,baseline_score_error_pearson,germ_bo_score_error_pearson,baseline_score_margin_pearson,germ_bo_score_margin_pearson,test_entropy3_pearson,test_gc_pearson
raw_clipped,1.499884768,0.0026020655201487767,0.9993333333333334,0.006780620465335501,0.010462818821180915,-0.0055460336771738766,-0.0059207428925320636,0.12806705209371297,-0.03218209729204357
quantile_q08_12,1.0035967673333328,0.1136540341062421,0.0,0.03059187982199505,0.0027034615218233245,0.050606948193526076,0.08718534264071084,0.2673307725286553,-0.034148094633984105
quantile_q075_125,1.0044959660000001,0.14206753988903179,0.0,0.030591942361405822,0.002703523738033597,0.050606858186511006,0.08718525816973761,0.2673306127430981,-0.03414806226622366
quantile_q09_11,1.0017983923333336,0.0568270225446185,0.0,0.030591857886724295,0.0027034718486726034,0.0506069632572776,0.08718537013792624,0.2673306168393369,-0.03414812526939516
