comparison,metric,n_pairs,mean_delta,delta_std,paired_t_pvalue_normal_approx,wilcoxon_pvalue_exact,sign_test_pvalue_exact,bootstrap_ci95_low,bootstrap_ci95_high,win_rate,tie_count,per_seed_delta
germ_bo_quantile_q08_12_comp027_minus_lora_attention_output_classifier,test_accuracy,10,0.024888888888888887,0.031140638545133072,0.011490289908896001,0.078125,0.75390625,0.007166666666666671,0.04338888888888888,0.6,0,+0.0222 / +0.0656 / +0.0189 / +0.0461 / +0.0467 / -0.0006 / +0.0728 / -0.0078 / -0.0078 / -0.0072
germ_bo_quantile_q08_12_comp027_minus_lora_attention_output_classifier,test_macro_f1,10,0.09056563760198345,0.08508085728506043,0.0007622925811827663,0.013671875,0.109375,0.039645733512580966,0.1391919658801404,0.8,0,+0.0168 / +0.1542 / +0.0894 / +0.1703 / +0.1571 / +0.0563 / +0.2075 / +0.1124 / -0.0083 / -0.0501
