model,num_seeds,accuracy_mean,accuracy_stdev,f1_mean,f1_stdev,loss_mean,loss_stdev
baseline_lora,5,0.6375,0.14422475949017907,0.5006253006253006,0.3080248364689199,0.6615478478372097,0.020413566462231886
germ_bo_mild,5,0.70625,0.13861409447635548,0.5701443083014592,0.3342710353361063,0.6571213357150555,0.014122246087472569
