task,variant,label,seed,threshold,val_accuracy,val_f1,test_accuracy,test_f1,test_precision,test_recall
border_hard,activation_027,activation-derived comp=0.27/p4,49,0.4473603665828705,0.9140625,0.9153846153846155,0.87109375,0.8745247148288974,0.8518518518518519,0.8984375
border_hard,activation_027,activation-derived comp=0.27/p4,50,0.44392865896224976,0.87890625,0.8803088803088803,0.80859375,0.8078431372549021,0.8110236220472441,0.8046875
border_hard,activation_027,activation-derived comp=0.27/p4,51,0.41756460070610046,0.89453125,0.898876404494382,0.8203125,0.8257575757575757,0.8014705882352942,0.8515625
border_hard,activation_027,activation-derived comp=0.27/p4,52,0.3813313841819763,0.9140625,0.9172932330827068,0.87890625,0.8864468864468863,0.8344827586206897,0.9453125
border_hard,activation_027,activation-derived comp=0.27/p4,53,0.4186786413192749,0.9296875,0.9279999999999999,0.8828125,0.883720930232558,0.8769230769230769,0.890625
border_hard,activation_027,activation-derived comp=0.27/p4,54,0.4274263083934784,0.875,0.8778625954198473,0.83203125,0.8326848249027237,0.8294573643410853,0.8359375
border_hard,no_comp_000,no compensation comp=0.00/p4,47,0.4665597677230835,0.90234375,0.9019607843137255,0.87109375,0.8745247148288974,0.8518518518518519,0.8984375
border_hard,no_comp_000,no compensation comp=0.00/p4,48,0.4582533538341522,0.8984375,0.8968253968253969,0.8671875,0.8650793650793651,0.8790322580645161,0.8515625
border_hard,no_comp_000,no compensation comp=0.00/p4,49,0.4478634297847748,0.8984375,0.8959999999999999,0.8515625,0.8527131782945736,0.8461538461538461,0.859375
border_hard,no_comp_000,no compensation comp=0.00/p4,50,0.48211151361465454,0.875,0.875,0.84765625,0.8494208494208494,0.8396946564885496,0.859375
border_hard,no_comp_000,no compensation comp=0.00/p4,51,0.46340373158454895,0.93359375,0.9343629343629344,0.89453125,0.8996282527881041,0.8581560283687943,0.9453125
border_hard,no_comp_000,no compensation comp=0.00/p4,52,0.5029634237289429,0.69921875,0.717948717948718,0.63671875,0.6759581881533101,0.610062893081761,0.7578125
border_hard,no_comp_000,no compensation comp=0.00/p4,53,0.5200010538101196,0.89453125,0.8906882591093118,0.8671875,0.860655737704918,0.9051724137931034,0.8203125
border_hard,no_comp_000,no compensation comp=0.00/p4,54,0.4666064977645874,0.84375,0.8473282442748091,0.83203125,0.8339768339768341,0.8244274809160306,0.84375
