comp,label,n_runs,val_accuracy_mean,val_accuracy_std,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_f1_mean,test_f1_std,collapse_count_acc_lt_0_75
000,"no compensation: comp=0.00, clip=[1.00,1.00], p4",16,0.883056640625,0.05231981631776568,0.87060546875,0.0684783191386682,0.63671875,0.93359375,0.8740859694423831,0.06006038791222351,1
015,"medium-stabilized: comp=0.15, clip=[0.85,1.30], p4",16,0.892822265625,0.0481588243130191,0.874755859375,0.06447827397613405,0.703125,0.953125,0.8773539398805654,0.06080504734054511,1
027,"combined main: comp=0.27, clip=[0.73,1.42], p4",16,0.895751953125,0.037838068952799675,0.875732421875,0.054280830775523224,0.74609375,0.9375,0.8768456263585674,0.053186102403592436,1
