tag,method,n_seeds,test_accuracy_mean,test_accuracy_std,test_f1_mean,test_f1_std,per_seed_accuracy
baseline_lora,baseline_lora,3,0.8103333333333333,0.0020816659994661343,0.8237534239295101,0.007103405467048511,0.8080 / 0.8120 / 0.8110
w16_k2_t10_s3,metadata_estimated,3,0.799,0.022516660498395367,0.8242425661055263,0.016597434076266206,0.7980 / 0.8220 / 0.7770
w32_k2_t10_s3,metadata_estimated,3,0.7993333333333333,0.018448125469362253,0.8206864734273916,0.014822785003847172,0.7790 / 0.8150 / 0.8040
w64_k2_t10_s3,metadata_estimated,3,0.8173333333333332,0.004041451884327384,0.835047260105558,0.0028663453213011738,0.8180 / 0.8130 / 0.8210
w32_k3_t10_s3,metadata_estimated,3,0.797,0.021166010488516702,0.8191347428971504,0.01416748382872909,0.7730 / 0.8130 / 0.8050
w32_k2_t20_s3,metadata_estimated,3,0.793,0.01873499399519515,0.8169895003686883,0.01633340304152796,0.7780 / 0.8140 / 0.7870
w32_k2_t10_s6,metadata_estimated,3,0.8059999999999999,0.023811761799581273,0.8282607018897963,0.017189575903613093,0.8240 / 0.8150 / 0.7790
