tag,metric,mean_delta_vs_baseline,delta_std,bootstrap_ci95_low,bootstrap_ci95_high,win_rate,per_seed_delta
emb_tw8_t10_s015,test_accuracy,-0.006666666666666672,0.008326663997864537,-0.016000000000000014,0.0,0.0,+0.0000 / -0.0160 / -0.0040
emb_tw8_t10_s015,test_f1,-0.0036845407103356744,0.010589718606143656,-0.014083868040702496,0.007085817118434479,0.3333333333333333,+0.0071 / -0.0141 / -0.0041
emb_tw16_t10_s015,test_accuracy,-0.0006666666666667043,0.007094598884597534,-0.007000000000000006,0.006999999999999895,0.3333333333333333,+0.0070 / -0.0020 / -0.0070
emb_tw16_t10_s015,test_f1,0.004104159542914025,0.00857752074087613,-0.0014012363850457454,0.013987202787275721,0.3333333333333333,+0.0140 / -0.0003 / -0.0014
ctx_tw8_t10_s015,test_accuracy,-0.010000000000000045,0.021166010488516702,-0.03400000000000003,0.005999999999999894,0.3333333333333333,-0.0340 / -0.0020 / +0.0060
ctx_tw8_t10_s015,test_f1,-0.0020371004474341405,0.010739547816188522,-0.013307706144529252,0.008077931490205192,0.3333333333333333,-0.0133 / -0.0009 / +0.0081
ctx_tw16_t10_s015,test_accuracy,0.002666666666666595,0.00208166599946609,0.0010000000000000009,0.004999999999999893,1.0,+0.0010 / +0.0050 / +0.0020
ctx_tw16_t10_s015,test_f1,0.007895870610850545,0.0023075815990470684,0.00524380883125275,0.00944519295628099,1.0,+0.0094 / +0.0052 / +0.0090
