comparison,metric,mean_delta,delta_std,bootstrap_ci95_low,bootstrap_ci95_high,win_rate,per_seed_delta
germ_bo_center_jsd_minus_baseline_lora,test_accuracy,0.004833333333333334,0.03657849246635394,-0.02350000000000002,0.03233333333333334,0.6,+0.0575 / -0.0233 / +0.0125 / -0.0358 / +0.0133
germ_bo_center_jsd_minus_baseline_lora,test_macro_f1,0.03676967487472266,0.10360403669974647,-0.03419375591884789,0.11967590440865863,0.4,+0.1984 / -0.0037 / -0.0141 / -0.0695 / +0.0728
