comparison,better,worse,metric,n_pairs,better_mean,better_std,worse_mean,worse_std,mean_delta,delta_std,paired_t_pvalue_normal_approx,wilcoxon_pvalue_exact,sign_test_pvalue_exact,bootstrap_ci95_low,bootstrap_ci95_high,win_rate,tie_count,per_seed_delta
"GERM-BO quantile [0.8,1.2] comp0.27_minus_LoRA attention.output + classifier","GERM-BO quantile [0.8,1.2] comp0.27",LoRA attention.output + classifier,test_accuracy,5,0.3887777777777778,0.023298254054227068,0.34888888888888886,0.008079466429027224,0.03988888888888888,0.01934259037639827,4.001804323028324e-06,0.0625,0.0625,0.02511111111111112,0.05411111111111109,1.0,0,+0.0222 / +0.0656 / +0.0189 / +0.0461 / +0.0467
"GERM-BO quantile [0.8,1.2] comp0.27_minus_LoRA attention.output + classifier","GERM-BO quantile [0.8,1.2] comp0.27",LoRA attention.output + classifier,test_macro_f1,5,0.35802512139507486,0.054547952860551245,0.2404562436703811,0.014497252776990396,0.1175688777246938,0.06447175932817327,4.549702357525831e-05,0.0625,0.0625,0.06204926850906235,0.16179922045097714,1.0,0,+0.0168 / +0.1542 / +0.0894 / +0.1703 / +0.1571
"GERM-BO quantile [0.8,1.2] comp0.27_minus_GERM-BO comp=0","GERM-BO quantile [0.8,1.2] comp0.27",GERM-BO comp=0,test_accuracy,5,0.3887777777777778,0.023298254054227068,0.34888888888888886,0.008079466429027224,0.03988888888888888,0.01934259037639827,4.001804323028324e-06,0.0625,0.0625,0.02511111111111112,0.05411111111111109,1.0,0,+0.0222 / +0.0656 / +0.0189 / +0.0461 / +0.0467
"GERM-BO quantile [0.8,1.2] comp0.27_minus_GERM-BO comp=0","GERM-BO quantile [0.8,1.2] comp0.27",GERM-BO comp=0,test_macro_f1,5,0.35802512139507486,0.054547952860551245,0.2404562436703811,0.014497252776990396,0.1175688777246938,0.06447175932817327,4.549702357525831e-05,0.0625,0.0625,0.06204926850906235,0.16179922045097714,1.0,0,+0.0168 / +0.1542 / +0.0894 / +0.1703 / +0.1571
"GERM-BO quantile [0.8,1.2] comp0.27_minus_Baseline LoRA full target set","GERM-BO quantile [0.8,1.2] comp0.27",Baseline LoRA full target set,test_accuracy,5,0.3887777777777778,0.023298254054227068,0.35777777777777775,0.03340732528527314,0.030999999999999993,0.03575767205944916,0.05255591104839352,0.1875,0.375,0.0004444444444444362,0.056999999999999995,0.8,0,-0.0217 / +0.0144 / +0.0394 / +0.0528 / +0.0700
"GERM-BO quantile [0.8,1.2] comp0.27_minus_Baseline LoRA full target set","GERM-BO quantile [0.8,1.2] comp0.27",Baseline LoRA full target set,test_macro_f1,5,0.35802512139507486,0.054547952860551245,0.23438590595722755,0.09182260027880809,0.12363921543784734,0.11881792313216424,0.01997584660487739,0.1875,0.375,0.0292339647786805,0.21380596000881238,0.8,0,-0.0309 / +0.0245 / +0.1802 / +0.2145 / +0.2299
