task,comp,label,n_seeds,selection_score,val_accuracy_mean,val_accuracy_std,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_accuracy_ci95_low,test_accuracy_ci95_high,test_f1_mean,test_f1_std,per_seed_test_accuracy
border_medium,015,"comp=0.15, clip=[0.85,1.30], patience=4",5,0.8963704572665219,0.90546875,0.01819658546695643,0.90703125,0.02181912506838897,0.875,0.93359375,0.8799435711819469,0.934118928818053,0.907713104487013,0.020290899032801613,0.9336 / 0.8984 / 0.8750 / 0.9141 / 0.9141
border_medium,020,"comp=0.20, clip=[0.80,1.35], patience=4",5,0.8798470055509147,0.8953125,0.03093098889817055,0.89921875,0.047633831817246765,0.8203125,0.94921875,0.8400830177882589,0.958354482211741,0.9023099568208598,0.042311447817044844,0.9023 / 0.9102 / 0.8203 / 0.9492 / 0.9141
border_medium,025,"comp=0.25, clip=[0.75,1.40], patience=4",5,0.8251741502812526,0.853125,0.05590169943749474,0.8484375,0.08292850071277516,0.73046875,0.921875,0.7454846737464496,0.9513903262535504,0.8445152640647544,0.09314532301649826,0.7969 / 0.9180 / 0.9219 / 0.8750 / 0.7305
border_medium,027,"comp=0.27, clip=[0.73,1.42], patience=4",5,0.8865220998059031,0.90078125,0.028518300388193717,0.89296875,0.05569660507074242,0.82421875,0.9609375,0.8238233674659418,0.9621141325340582,0.8989116834234205,0.04974575142082727,0.8242 / 0.8789 / 0.8633 / 0.9375 / 0.9609
border_hard,015,"comp=0.15, clip=[0.85,1.30], patience=4",5,0.8598041532215921,0.87265625,0.02570419355681578,0.846875,0.01733776642279074,0.828125,0.86328125,0.8253507708289879,0.8683992291710122,0.8504988280648897,0.019622389826372953,0.8281 / 0.8633 / 0.8281 / 0.8555 / 0.8594
border_hard,020,"comp=0.20, clip=[0.80,1.35], patience=4",5,0.8916104587597455,0.89375,0.00427908248050911,0.8609375,0.027841452626883534,0.82421875,0.89453125,0.8263733126542081,0.8955016873457919,0.8565507118435796,0.030803814247562424,0.8242 / 0.8438 / 0.8633 / 0.8945 / 0.8789
border_hard,025,"comp=0.25, clip=[0.75,1.40], patience=4",5,0.8640787831120597,0.8828125,0.03746743377588062,0.8515625,0.038964721373554695,0.796875,0.89453125,0.8031891644746949,0.8999358355253051,0.8490832007565075,0.042765866887542824,0.8633 / 0.8945 / 0.7969 / 0.8281 / 0.8750
border_hard,027,"comp=0.27, clip=[0.73,1.42], patience=4",5,0.8902735159390713,0.9,0.019452968121857393,0.86953125,0.020222154852413726,0.84765625,0.90234375,0.8444261537170736,0.8946363462829263,0.873645429475327,0.01875334546879873,0.8477 / 0.9023 / 0.8711 / 0.8633 / 0.8633
