task,comp,label,n_seeds,val_accuracy_mean,val_accuracy_std,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_accuracy_ci95_low,test_accuracy_ci95_high,test_f1_mean,test_f1_std,per_seed_test_accuracy
border_medium,027,"combined main candidate: comp=0.27, clip=[0.73,1.42], patience=4",8,0.9091796875,0.020853668460998655,0.91748046875,0.01676082354109337,0.89453125,0.9375,0.9034658429787092,0.9314950945212908,0.9160860712671951,0.017968231761619245,0.9141 / 0.9375 / 0.8945 / 0.9062 / 0.8984 / 0.9336 / 0.9336 / 0.9219
border_medium,015,"medium-stabilized candidate: comp=0.15, clip=[0.85,1.30], patience=4",8,0.9091796875,0.020957937453363752,0.91162109375,0.045118576528556054,0.81640625,0.953125,0.873895025944873,0.949347161555127,0.9137843418492887,0.04148420921357821,0.9414 / 0.8984 / 0.8164 / 0.9531 / 0.9297 / 0.8867 / 0.9180 / 0.9492
border_hard,027,"combined main candidate: comp=0.27, clip=[0.73,1.42], patience=4",8,0.88232421875,0.04712718158050721,0.833984375,0.04526629417560993,0.74609375,0.8828125,0.7961347925275776,0.8718339574724224,0.8376051814499398,0.047108416898490366,0.8320 / 0.7461 / 0.8711 / 0.8086 / 0.8203 / 0.8789 / 0.8828 / 0.8320
border_hard,015,"medium-stabilized candidate: comp=0.15, clip=[0.85,1.30], patience=4",8,0.87646484375,0.06260236803570178,0.837890625,0.06137378162887286,0.703125,0.88671875,0.7865727061883887,0.8892085438116113,0.8409235379118423,0.05628681960803643,0.8008 / 0.8516 / 0.8828 / 0.8867 / 0.8516 / 0.7031 / 0.8438 / 0.8828
