comparison,metric,mean_delta,delta_std,bootstrap_ci95_low,bootstrap_ci95_high,win_rate,per_seed_delta
germ_bo_center_w64_k3_t10_s3_minus_baseline_lora,test_accuracy,0.014200000000000013,0.06652676988334179,-0.02679999999999998,0.07260000000000003,0.4,+0.0127 / +0.1277 / -0.0437 / -0.0157 / -0.0100
germ_bo_center_w64_k3_t10_s3_minus_baseline_lora,test_macro_f1,0.05146043910737798,0.15195900307020652,-0.05052782249913194,0.17968692848206252,0.4,+0.1006 / +0.2945 / -0.0858 / -0.0231 / -0.0290
