benchmark,method,label,n_seeds,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,per_seed_accuracy,per_seed_macro_f1
splice_sites_all_larger,lora_attention_output_classifier,LoRA attention.output + classifier,5,0.3636,0.024249169516134407,0.2878235158041999,0.05875123603234805,0.3843 / 0.3377 / 0.3817 / 0.3777 / 0.3367,0.3209 / 0.1909 / 0.3445 / 0.2980 / 0.2848
splice_sites_all_larger,germ_bo_quantile_q08_12_comp027,"GERM-BO quantile [0.8,1.2] comp0.27",5,0.4,0.025811280910141263,0.36036552356539214,0.041085254819367645,0.4060 / 0.4243 / 0.3990 / 0.4137 / 0.3570,0.3569 / 0.4110 / 0.3261 / 0.3921 / 0.3157
