metric,baseline_mean,baseline_std,germ_bo_mean,germ_bo_std,delta_mean,delta_std,delta_se,paired_t,paired_t_p_two_sided,wilcoxon_stat,wilcoxon_p_two_sided,sign_test_p_two_sided,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,hedges_gz,win_rate,wins,losses,ties,per_seed_delta
test_accuracy,0.8377403846,0.05444550683,0.8918269231,0.02553467827,0.05408653846,0.06336571158,0.01757448632,3.077560133,0.009581252667,2,0.00146484375,0.00634765625,0.02403846154,0.08954326923,0.8535616047,0.7990789491,0.8461538462,11,1,1,+0.0820 / +0.0742 / +0.0039 / +0.0156 / +0.1953 / +0.1602 / +0.0234 / +0.0117 / +0.0352 / -0.0078 / +0.0859 / +0.0000 / +0.0234
test_f1,0.8300198385,0.07254620732,0.8896181449,0.02758802596,0.05959830644,0.08179979413,0.02268718093,2.626959543,0.02209931856,6,0.00341796875,0.09228515625,0.02213278393,0.106334031,0.728587487,0.6820819027,0.7692307692,10,3,0,+0.0756 / +0.0610 / -0.0044 / +0.0183 / +0.2194 / +0.2462 / +0.0260 / +0.0129 / +0.0409 / -0.0098 / +0.0644 / -0.0089 / +0.0330
test_precision,0.8616685883,0.06499861513,0.9062014035,0.03025679464,0.0445328152,0.07212635788,0.02000425243,2.226167429,0.04592632764,17,0.0478515625,0.09228515625,0.008135601498,0.08335028021,0.6174277547,0.5780174725,0.7692307692,10,3,0,+0.1205 / +0.1339 / +0.0363 / -0.0029 / +0.1327 / -0.0615 / +0.0045 / +0.0095 / +0.0003 / +0.0066 / +0.1731 / +0.0492 / -0.0232
test_recall,0.8143028846,0.1203206947,0.8756009615,0.04894117522,0.06129807692,0.1405832604,0.03899078106,1.572117184,0.1419048245,28.5,0.25,0.5810546875,-0.003004807692,0.1418269231,0.4360268553,0.4081953539,0.6153846154,8,5,0,+0.0312 / -0.0234 / -0.0547 / +0.0391 / +0.2969 / +0.4141 / +0.0469 / +0.0156 / +0.0781 / -0.0234 / -0.0469 / -0.0547 / +0.0781
