comparison,metric,mean_delta,delta_std,bootstrap_ci95_low,bootstrap_ci95_high,win_rate,tie_count,per_seed_delta
metadata_w64_k2_t10_s3_minus_baseline_lora,test_accuracy,-0.0009999999999999788,0.0059581876439064605,-0.005799999999999983,0.003400000000000003,0.6,0,-0.0050 / +0.0060 / +0.0010 / +0.0020 / -0.0090
metadata_w64_k2_t10_s3_minus_baseline_lora,test_f1,-9.861547856766517e-05,0.008952616342576937,-0.006844401782069886,0.007819390140105043,0.4,0,-0.0014 / +0.0140 / +0.0007 / -0.0032 / -0.0106
