method,seed,selected_threshold,val_accuracy,test_accuracy,test_f1,test_precision,test_recall
baseline_lora,42,0.5064,0.7813,0.8281,0.8321,0.8134,0.8516
baseline_lora,43,0.4234,0.8438,0.8477,0.8602,0.7947,0.9375
baseline_lora,44,0.4354,0.8125,0.8438,0.8561,0.7933,0.9297
germ_bo_0.27,42,0.4911,0.8711,0.8555,0.8538,0.8640,0.8438
germ_bo_0.27,43,0.4322,0.8242,0.8516,0.8571,0.8261,0.8906
germ_bo_0.27,44,0.4520,0.8594,0.8789,0.8692,0.9450,0.8047
