class_label,precision_delta,recall_delta,f1_delta,predicted_delta
0,-0.12437252151926786,0.41833333333333333,0.2740835938607818,682.4000000000001
1,-0.07920087577457896,0.16499999999999998,0.1509891632499363,291.4
2,0.1115585670975141,-0.4636666666666666,-0.07236612393663688,-973.8
