task,comp,label,seed,threshold,val_accuracy,val_f1,test_accuracy,test_f1,test_precision,test_recall,pred_0,pred_1,cuda_visible_devices,visible_gpu_count,selected_device,selected_gpu_name
border_hard,015,"comp=0.15, clip=[0.85,1.30], patience=4",46,0.44540533423423767,0.88671875,0.8913857677902621,0.859375,0.8666666666666667,0.823943661971831,0.9140625,114,142,3,1,cuda:0,NVIDIA H20
border_hard,020,"comp=0.20, clip=[0.80,1.35], patience=4",42,0.491468608379364,0.8984375,0.8976377952755906,0.82421875,0.8132780082987552,0.8672566371681416,0.765625,143,113,3,1,cuda:0,NVIDIA H20
border_hard,020,"comp=0.20, clip=[0.80,1.35], patience=4",43,0.5369535088539124,0.8984375,0.9,0.84375,0.8412698412698412,0.8548387096774194,0.828125,132,124,3,1,cuda:0,NVIDIA H20
border_hard,020,"comp=0.20, clip=[0.80,1.35], patience=4",44,0.439109206199646,0.890625,0.890625,0.86328125,0.8616600790513834,0.872,0.8515625,131,125,3,1,cuda:0,NVIDIA H20
border_hard,020,"comp=0.20, clip=[0.80,1.35], patience=4",45,0.5,0.890625,0.8914728682170543,0.89453125,0.8941176470588235,0.8976377952755905,0.890625,129,127,3,1,cuda:0,NVIDIA H20
border_hard,020,"comp=0.20, clip=[0.80,1.35], patience=4",46,0.4579998850822449,0.890625,0.884297520661157,0.87890625,0.8724279835390947,0.9217391304347826,0.828125,141,115,3,1,cuda:0,NVIDIA H20
border_hard,025,"comp=0.25, clip=[0.75,1.40], patience=4",42,0.48221278190612793,0.90625,0.9032258064516129,0.86328125,0.8605577689243028,0.8780487804878049,0.84375,133,123,3,1,cuda:0,NVIDIA H20
border_hard,025,"comp=0.25, clip=[0.75,1.40], patience=4",43,0.47491270303726196,0.89453125,0.8915662650602411,0.89453125,0.8957528957528957,0.8854961832061069,0.90625,125,131,3,1,cuda:0,NVIDIA H20
border_hard,025,"comp=0.25, clip=[0.75,1.40], patience=4",44,0.4357280135154724,0.81640625,0.8112449799196787,0.796875,0.7936507936507936,0.8064516129032258,0.78125,132,124,3,1,cuda:0,NVIDIA H20
border_hard,025,"comp=0.25, clip=[0.75,1.40], patience=4",45,0.5264387130737305,0.89453125,0.889795918367347,0.828125,0.8166666666666667,0.875,0.765625,144,112,3,1,cuda:0,NVIDIA H20
border_hard,025,"comp=0.25, clip=[0.75,1.40], patience=4",46,0.5132685899734497,0.90234375,0.9056603773584906,0.875,0.8787878787878787,0.8529411764705882,0.90625,120,136,3,1,cuda:0,NVIDIA H20
border_hard,027,"comp=0.27, clip=[0.73,1.42], patience=4",42,0.48466506600379944,0.8828125,0.8880597014925372,0.84765625,0.8571428571428571,0.8068965517241379,0.9140625,111,145,3,1,cuda:0,NVIDIA H20
border_hard,027,"comp=0.27, clip=[0.73,1.42], patience=4",43,0.41293588280677795,0.9296875,0.931297709923664,0.90234375,0.9049429657794676,0.8814814814814815,0.9296875,121,135,3,1,cuda:0,NVIDIA H20
border_hard,027,"comp=0.27, clip=[0.73,1.42], patience=4",44,0.48811832070350647,0.8828125,0.8854961832061069,0.87109375,0.8754716981132076,0.8467153284671532,0.90625,119,137,3,1,cuda:0,NVIDIA H20
border_hard,027,"comp=0.27, clip=[0.73,1.42], patience=4",45,0.5237391591072083,0.90625,0.9055118110236221,0.86328125,0.8627450980392157,0.8661417322834646,0.859375,129,127,3,1,cuda:0,NVIDIA H20
border_hard,027,"comp=0.27, clip=[0.73,1.42], patience=4",46,0.4855727553367615,0.8984375,0.9,0.86328125,0.8679245283018867,0.8394160583941606,0.8984375,119,137,3,1,cuda:0,NVIDIA H20
