benchmark,method,label,family,n_seeds,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,per_seed_accuracy,per_seed_macro_f1
splice_sites_all_larger,baseline_lora,Baseline LoRA full target set,reference,5,0.3853333333333333,0.03704126827682275,0.3015960884229204,0.09007318663622094,0.3740 / 0.3333 / 0.4287 / 0.3783 / 0.4123,0.2848 / 0.1667 / 0.3989 / 0.2899 / 0.3676
splice_sites_all_larger,germ_bo_center_w64_k3_t10_s3,GERM-BO w64/k3/top10/scale3,reference,5,0.39953333333333335,0.03715478135822869,0.3530565275302984,0.07412939998134349,0.3867 / 0.4610 / 0.3850 / 0.3627 / 0.4023,0.3855 / 0.4612 / 0.3131 / 0.2668 / 0.3387
splice_sites_all_larger,lora_classifier_only,LoRA classifier only,baseline,5,0.33686666666666665,0.001643167672515507,0.18577673009811868,0.006364185366691938,0.3397 / 0.3363 / 0.3363 / 0.3367 / 0.3353,0.1953 / 0.1833 / 0.1829 / 0.1886 / 0.1788
splice_sites_all_larger,lora_attention_output_classifier,LoRA attention.output + classifier,baseline,5,0.4002,0.005570756980279538,0.34186137147064455,0.021422304102183383,0.4070 / 0.3963 / 0.4033 / 0.3930 / 0.4013,0.3570 / 0.3428 / 0.3323 / 0.3112 / 0.3659
splice_sites_all_larger,lora_wqkv_classifier,LoRA Wqkv + classifier,baseline,5,0.3714,0.03725840695586552,0.28336953877201737,0.10772728265693217,0.4100 / 0.3337 / 0.3330 / 0.3750 / 0.4053,0.3734 / 0.1797 / 0.1690 / 0.2913 / 0.4034
splice_sites_all_larger,germ_bo_w64k3_comp0,GERM-BO w64/k3 comp=0,ablation,5,0.4002,0.005570756980279538,0.34186137147064455,0.021422304102183383,0.4070 / 0.3963 / 0.4033 / 0.3930 / 0.4013,0.3570 / 0.3428 / 0.3323 / 0.3112 / 0.3659
splice_sites_all_larger,germ_bo_w64k3_shuffled,GERM-BO w64/k3 shuffled metadata,ablation,5,0.3772,0.018047160441465586,0.3022487333542411,0.04579090532227225,0.3560 / 0.3680 / 0.3737 / 0.4037 / 0.3847,0.2360 / 0.3277 / 0.2738 / 0.3452 / 0.3286
