method,label,seeds,accuracy_mean,accuracy_std,f1_mean,f1_std,threshold_mean,per_seed_accuracy,per_seed_f1
germ_bo_main_wqkv_classifier,GERM-BO main: Wqkv + classifier,50/51/52/53/54,0.832031,0.092727,0.837021,0.081909,0.464182,0.8906 / 0.6758 / 0.8633 / 0.9062 / 0.8242,0.8898 / 0.7025 / 0.8718 / 0.9032 / 0.8178
germ_bo_candidate_attn_output_classifier,GERM-BO candidate: attention.output + classifier,50/51/52/53/54,0.884375,0.020780,0.878791,0.024783,0.481725,0.9062 / 0.9023 / 0.8828 / 0.8555 / 0.8750,0.9062 / 0.8971 / 0.8760 / 0.8426 / 0.8720
