task,variant,label,seed,test_accuracy,test_f1,test_precision,test_recall,val_accuracy
border_medium,metadata_real,metadata real comp=0.27/p4,47,0.99609375,0.996078431372549,1.0,0.9921875,0.9921875
border_medium,metadata_real,metadata real comp=0.27/p4,48,0.7890625,0.784,0.8032786885245902,0.765625,0.8125
border_medium,metadata_real,metadata real comp=0.27/p4,49,0.9140625,0.9105691056910569,0.9491525423728814,0.875,0.91015625
border_medium,metadata_real,metadata real comp=0.27/p4,50,0.9296875,0.9296875,0.9296875,0.9296875,0.97265625
border_medium,metadata_real,metadata real comp=0.27/p4,51,0.890625,0.8823529411764707,0.9545454545454546,0.8203125,0.84765625
border_medium,metadata_real,metadata real comp=0.27/p4,52,0.94140625,0.9433962264150944,0.9124087591240876,0.9765625,0.93359375
border_medium,metadata_real,metadata real comp=0.27/p4,53,0.96484375,0.963855421686747,0.9917355371900827,0.9375,0.98046875
border_medium,metadata_real,metadata real comp=0.27/p4,54,0.98046875,0.9803921568627452,0.984251968503937,0.9765625,0.9921875
border_medium,metadata_shuffled,metadata shuffled comp=0.27/p4,47,0.88671875,0.8862745098039215,0.889763779527559,0.8828125,0.8828125
border_medium,metadata_shuffled,metadata shuffled comp=0.27/p4,48,0.91796875,0.9169960474308302,0.928,0.90625,0.90625
border_medium,metadata_shuffled,metadata shuffled comp=0.27/p4,49,0.8828125,0.883720930232558,0.8769230769230769,0.890625,0.8828125
border_medium,metadata_shuffled,metadata shuffled comp=0.27/p4,50,0.9296875,0.931297709923664,0.9104477611940298,0.953125,0.92578125
border_medium,metadata_shuffled,metadata shuffled comp=0.27/p4,51,0.88671875,0.8897338403041826,0.8666666666666667,0.9140625,0.8984375
border_medium,metadata_shuffled,metadata shuffled comp=0.27/p4,52,0.890625,0.8897637795275591,0.8968253968253969,0.8828125,0.8984375
border_medium,metadata_shuffled,metadata shuffled comp=0.27/p4,53,0.8984375,0.8907563025210083,0.9636363636363636,0.828125,0.91796875
border_medium,metadata_shuffled,metadata shuffled comp=0.27/p4,54,0.671875,0.6146788990825688,0.7444444444444445,0.5234375,0.71484375
border_medium,activation,activation-derived comp=0.27/p4,47,0.9140625,0.9140625,0.9140625,0.9140625,0.91796875
border_medium,activation,activation-derived comp=0.27/p4,48,0.9375,0.9365079365079365,0.9516129032258065,0.921875,0.92578125
border_medium,activation,activation-derived comp=0.27/p4,49,0.89453125,0.896551724137931,0.8796992481203008,0.9140625,0.87890625
border_medium,activation,activation-derived comp=0.27/p4,50,0.90625,0.8991596638655464,0.9727272727272728,0.8359375,0.9140625
border_medium,activation,activation-derived comp=0.27/p4,51,0.8984375,0.8934426229508198,0.9396551724137931,0.8515625,0.87890625
border_medium,activation,activation-derived comp=0.27/p4,52,0.93359375,0.933852140077821,0.9302325581395349,0.9375,0.9375
border_medium,activation,activation-derived comp=0.27/p4,53,0.93359375,0.933852140077821,0.9302325581395349,0.9375,0.90625
border_medium,activation,activation-derived comp=0.27/p4,54,0.921875,0.9212598425196851,0.9285714285714286,0.9140625,0.9140625
border_medium,no_comp,no compensation comp=0.00/p4,47,0.90234375,0.9042145593869733,0.8872180451127819,0.921875,0.90625
border_medium,no_comp,no compensation comp=0.00/p4,48,0.88671875,0.8929889298892989,0.8461538461538461,0.9453125,0.88671875
border_medium,no_comp,no compensation comp=0.00/p4,49,0.921875,0.9224806201550388,0.9153846153846154,0.9296875,0.90234375
border_medium,no_comp,no compensation comp=0.00/p4,50,0.93359375,0.9343629343629344,0.9236641221374046,0.9453125,0.8984375
border_medium,no_comp,no compensation comp=0.00/p4,51,0.91015625,0.9132075471698112,0.8832116788321168,0.9453125,0.90625
border_medium,no_comp,no compensation comp=0.00/p4,52,0.8984375,0.8968253968253969,0.9112903225806451,0.8828125,0.890625
border_medium,no_comp,no compensation comp=0.00/p4,53,0.89453125,0.897338403041825,0.8740740740740741,0.921875,0.89453125
border_medium,no_comp,no compensation comp=0.00/p4,54,0.9140625,0.9120000000000001,0.9344262295081968,0.890625,0.8984375
border_hard,metadata_real,metadata real comp=0.27/p4,47,0.953125,0.9534883720930233,0.9461538461538461,0.9609375,0.96484375
border_hard,metadata_real,metadata real comp=0.27/p4,48,0.9609375,0.959349593495935,1.0,0.921875,0.98828125
border_hard,metadata_real,metadata real comp=0.27/p4,49,0.984375,0.9842519685039369,0.9920634920634921,0.9765625,0.9921875
border_hard,metadata_real,metadata real comp=0.27/p4,50,0.93359375,0.935361216730038,0.9111111111111111,0.9609375,0.953125
border_hard,metadata_real,metadata real comp=0.27/p4,51,0.98828125,0.9881422924901185,1.0,0.9765625,0.99609375
border_hard,metadata_real,metadata real comp=0.27/p4,52,0.8359375,0.823529411764706,0.8909090909090909,0.765625,0.890625
