split,feature,pearson
train,gc,-0.01718353937228292
train,entropy3,0.06496473698345354
train,max3,0.03739181887530546
val,gc,-0.007820779490834926
val,entropy3,0.032837741555515686
val,max3,0.06365408726243249
test,gc,-0.027225799305815177
test,entropy3,0.03526444198737465
test,max3,0.07137704661684902
