benchmark,method,label,seed,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1
splice_sites_all,baseline_lora,Baseline LoRA,45,0.3333333333333333,0.16687526074259493,0.3333333333333333,0.16666666666666666
splice_sites_all,baseline_lora,Baseline LoRA,46,0.4116666666666667,0.32359846722927327,0.3983333333333333,0.31417279932237424
splice_sites_all,baseline_lora,Baseline LoRA,47,0.42833333333333334,0.41167374656159944,0.4083333333333333,0.3963368867137904
splice_sites_all,baseline_lora,Baseline LoRA,48,0.35333333333333333,0.2590202200351696,0.38083333333333336,0.2910048052537139
splice_sites_all,baseline_lora,Baseline LoRA,49,0.385,0.2888939215508651,0.38666666666666666,0.2966948484201575
splice_sites_all,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,45,0.4083333333333333,0.3729003616298698,0.3908333333333333,0.3650354691082391
splice_sites_all,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,46,0.38333333333333336,0.30779623052278954,0.375,0.3105145528437048
splice_sites_all,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,47,0.46166666666666667,0.4203296282265889,0.42083333333333334,0.38220159040592483
splice_sites_all,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,48,0.3416666666666667,0.21237368484437094,0.345,0.22148483500379448
splice_sites_all,germ_bo_center_jsd,Metadata-estimated GERM-BO center-JSD,49,0.415,0.3803928676471293,0.4,0.36948793338865277
