benchmark,method,label,n_seeds,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,per_seed_accuracy,per_seed_macro_f1
splice_sites_all_kmer_balanced,lora_attention_output_classifier,LoRA attention.output + classifier,10,0.34755555555555556,0.008068635613189896,0.23390999261153178,0.028199152722347888,0.3383 / 0.3533 / 0.3539 / 0.3422 / 0.3567 / 0.3572 / 0.3333 / 0.3439 / 0.3500 / 0.3467,0.2503 / 0.2353 / 0.2574 / 0.2197 / 0.2395 / 0.2685 / 0.1667 / 0.2210 / 0.2321 / 0.2486
splice_sites_all_kmer_balanced,germ_bo_quantile_q08_12_comp027,"GERM-BO quantile [0.8,1.2] comp0.27",10,0.37244444444444447,0.03020301677353144,0.3244756302135152,0.07154471078775278,0.3606 / 0.4189 / 0.3728 / 0.3883 / 0.4033 / 0.3567 / 0.4061 / 0.3361 / 0.3422 / 0.3394,0.2671 / 0.3895 / 0.3469 / 0.3901 / 0.3966 / 0.3247 / 0.3742 / 0.3333 / 0.2238 / 0.1985
