variant,label,n_runs,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_f1_mean,test_f1_std
metadata_027,metadata-driven comp=0.27/p4,16,0.92724609375,0.05832185178114882,0.7890625,0.99609375,0.9250850234992086,0.06125525130567648
activation_027,activation-derived comp=0.27/p4,16,0.875732421875,0.054280830775523224,0.74609375,0.9375,0.8768456263585674,0.053186102403592436
no_comp_000,no compensation comp=0.00/p4,16,0.87060546875,0.0684783191386682,0.63671875,0.93359375,0.8740859694423831,0.06006038791222351
