method,label,seeds,accuracy_mean,accuracy_std,f1_mean,f1_std,threshold_mean,per_seed_accuracy
baseline_lora,Baseline LoRA,42/43/44/45/46/47/48/49/50/51/52/53/54,0.837740,0.054446,0.830020,0.072546,0.478071,0.8281 / 0.8477 / 0.8438 / 0.8828 / 0.7344 / 0.7305 / 0.8867 / 0.8516 / 0.8711 / 0.9102 / 0.7969 / 0.8555 / 0.8516
germ_bo_final_attn_output_classifier,GERM-BO final: attention.output + classifier,42/43/44/45/46/47/48/49/50/51/52/53/54,0.891827,0.025535,0.889618,0.027588,0.452172,0.9102 / 0.9219 / 0.8477 / 0.8984 / 0.9297 / 0.8906 / 0.9102 / 0.8633 / 0.9062 / 0.9023 / 0.8828 / 0.8555 / 0.8750
