method,label,seeds,accuracy_mean,accuracy_std,f1_mean,f1_std,threshold_mean,per_seed_accuracy,per_seed_f1
germ_bo_main_wqkv_classifier,GERM-BO main: Wqkv + classifier,42/43/44/45/46/47/48/49/50/51/52/53/54,0.867488,0.064905,0.869465,0.058842,0.477167,0.8672 / 0.8828 / 0.9062 / 0.8594 / 0.8555 / 0.9414 / 0.8984 / 0.9062 / 0.8906 / 0.6758 / 0.8633 / 0.9062 / 0.8242,0.8741 / 0.8855 / 0.9048 / 0.8636 / 0.8452 / 0.9416 / 0.8976 / 0.9055 / 0.8898 / 0.7025 / 0.8718 / 0.9032 / 0.8178
germ_bo_candidate_attn_output_classifier,GERM-BO candidate: attention.output + classifier,42/43/44/45/46/47/48/49/50/51/52/53/54,0.891827,0.025535,0.889618,0.027588,0.452172,0.9102 / 0.9219 / 0.8477 / 0.8984 / 0.9297 / 0.8906 / 0.9102 / 0.8633 / 0.9062 / 0.9023 / 0.8828 / 0.8555 / 0.8750,0.9076 / 0.9213 / 0.8517 / 0.8992 / 0.9313 / 0.8923 / 0.9105 / 0.8571 / 0.9062 / 0.8971 / 0.8760 / 0.8426 / 0.8720
