benchmark,method,label,n_seeds,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,per_seed_accuracy,per_seed_macro_f1
splice_sites_all_kmer_balanced,lora_attention_output_classifier,LoRA attention.output + classifier,5,0.3462222222222222,0.00876123617186863,0.22736374155268246,0.038365070528900445,0.3572 / 0.3333 / 0.3439 / 0.3500 / 0.3467,0.2685 / 0.1667 / 0.2210 / 0.2321 / 0.2486
splice_sites_all_kmer_balanced,germ_bo_quantile_q08_12_comp027,"GERM-BO quantile [0.8,1.2] comp0.27",5,0.3561111111111111,0.029030103575086435,0.2909261390319556,0.07568059616705844,0.3567 / 0.4061 / 0.3361 / 0.3422 / 0.3394,0.3247 / 0.3742 / 0.3333 / 0.2238 / 0.1985
