group,metric,comparison,better_variant,worse_variant,n_pairs,better_mean,better_std,worse_mean,worse_std,mean_delta,delta_std,paired_t_pvalue_normal_approx,wilcoxon_pvalue_exact,bootstrap_ci95_low,bootstrap_ci95_high,win_rate,tie_count,per_seed_delta
border_hard,recall,metadata-driven comp=0.27/p4 vs activation-derived comp=0.27/p4,metadata,activation,8,0.9111328125,0.07845216096265177,0.8603515625,0.06568841270859045,0.05078125,0.12081440995090657,0.23449591754954158,0.3125,-0.033203125,0.12109375,0.75,0,+0.0469 / +0.1797 / +0.0781 / +0.1562 / +0.1250 / -0.1797 / -0.0703 / +0.0703
border_hard,accuracy,metadata-driven comp=0.27/p4 vs no compensation comp=0.00/p4,metadata,no_comp,8,0.9287109375,0.05503516720158348,0.83349609375,0.08164336173215465,0.09521484375,0.056062804679206726,1.5576915037840422e-06,0.015625,0.06005859375,0.1328125,0.875,1,+0.0820 / +0.0938 / +0.1328 / +0.0859 / +0.0938 / +0.1992 / +0.0000 / +0.0742
border_hard,f1,metadata-driven comp=0.27/p4 vs no compensation comp=0.00/p4,metadata,no_comp,8,0.9263785740978344,0.05900291123234236,0.8389946400308564,0.06865171353308784,0.08738393406697799,0.044009952644812694,1.9544932783333024e-08,0.015625,0.05766835491949905,0.11443233784641321,0.875,1,+0.0790 / +0.0943 / +0.1315 / +0.0859 / +0.0885 / +0.1476 / +0.0000 / +0.0723
border_hard,precision,metadata-driven comp=0.27/p4 vs no compensation comp=0.00/p4,metadata,no_comp,8,0.9439574942538305,0.04693413539933684,0.8268189285898067,0.09102800420373919,0.11713856566402382,0.0809176571790888,4.230680221506411e-05,0.015625,0.06843607430537728,0.17400456223858984,0.875,1,+0.0943 / +0.1210 / +0.1459 / +0.0714 / +0.1418 / +0.2808 / +0.0000 / +0.0818
border_hard,recall,metadata-driven comp=0.27/p4 vs no compensation comp=0.00/p4,metadata,no_comp,8,0.9111328125,0.07845216096265177,0.8544921875,0.054597742029408335,0.056640625,0.04170733692199731,0.0001224623265454472,0.015625,0.029296875,0.083984375,0.875,1,+0.0625 / +0.0703 / +0.1172 / +0.1016 / +0.0312 / +0.0078 / +0.0000 / +0.0625
border_hard,accuracy,activation-derived comp=0.27/p4 vs no compensation comp=0.00/p4,activation,no_comp,8,0.833984375,0.04526629417560993,0.83349609375,0.08164336173215465,0.00048828125,0.10856358578685889,0.9898501596833416,0.53125,-0.05908203125,0.07861328125,0.375,1,-0.0391 / -0.1211 / +0.0195 / -0.0391 / -0.0742 / +0.2422 / +0.0156 / +0.0000
border_hard,f1,activation-derived comp=0.27/p4 vs no compensation comp=0.00/p4,activation,no_comp,8,0.8376051814499398,0.047108416898490366,0.8389946400308564,0.06865171353308784,-0.001389458580916672,0.09839148098419012,0.9681391251368254,0.546875,-0.05686389905101162,0.06874162511884281,0.375,0,-0.0298 / -0.1200 / +0.0218 / -0.0416 / -0.0739 / +0.2105 / +0.0231 / -0.0013
border_hard,precision,activation-derived comp=0.27/p4 vs no compensation comp=0.00/p4,activation,no_comp,8,0.8173094571763866,0.04019248200835732,0.8268189285898067,0.09102800420373919,-0.009509471413419984,0.10428731812593772,0.796475592392601,0.3828125,-0.06644741725741672,0.06589636770130505,0.375,0,-0.0666 / -0.1310 / +0.0057 / -0.0287 / -0.0567 / +0.2244 / -0.0282 / +0.0050
border_hard,recall,activation-derived comp=0.27/p4 vs no compensation comp=0.00/p4,activation,no_comp,8,0.8603515625,0.06568841270859045,0.8544921875,0.054597742029408335,0.005859375,0.09665784272508805,0.8638632068534706,1.0,-0.052734375,0.072265625,0.5,0,+0.0156 / -0.1094 / +0.0391 / -0.0547 / -0.0938 / +0.1875 / +0.0703 / -0.0078
combined,accuracy,metadata-driven comp=0.27/p4 vs activation-derived comp=0.27/p4,metadata,activation,16,0.92724609375,0.05832185178114882,0.875732421875,0.05428083077552323,0.051513671875,0.08826418011131501,0.01956839526810894,0.025909423828125,0.009521484375,0.092041015625,0.75,0,+0.0820 / -0.1484 / +0.0195 / +0.0234 / -0.0078 / +0.0078 / +0.0312 / +0.0586 / +0.1211 / +0.2148 / +0.1133 / +0.1250 / +0.1680 / -0.0430 / -0.0156 / +0.0742
combined,f1,metadata-driven comp=0.27/p4 vs activation-derived comp=0.27/p4,metadata,activation,16,0.9250850234992086,0.06125525130567648,0.8768456263585674,0.053186102403592436,0.048239397140641224,0.08973612647455068,0.03153325795889872,0.03863525390625,0.005364136231108582,0.08939719868726151,0.75,0,+0.0820 / -0.1525 / +0.0140 / +0.0305 / -0.0111 / +0.0095 / +0.0300 / +0.0591 / +0.1087 / +0.2143 / +0.1097 / +0.1275 / +0.1624 / -0.0629 / -0.0231 / +0.0736
combined,precision,metadata-driven comp=0.27/p4 vs activation-derived comp=0.27/p4,metadata,activation,16,0.9422950252682298,0.05388332725172452,0.8740793311717978,0.06734966264385173,0.06821569409643202,0.09570286097762394,0.00435620379857804,0.009185791015625,0.021616219528335284,0.11278189607884878,0.8125,0,+0.0859 / -0.1483 / +0.0695 / -0.0430 / +0.0149 / -0.0178 / +0.0615 / +0.0557 / +0.1609 / +0.2520 / +0.1402 / +0.1001 / +0.1985 / +0.0564 / +0.0282 / +0.0768
combined,recall,metadata-driven comp=0.27/p4 vs activation-derived comp=0.27/p4,metadata,activation,16,0.91015625,0.07744495693178909,0.8818359375,0.05647200115156625,0.0283203125,0.10237555167484651,0.2684987464990063,0.2025146484375,-0.0224609375,0.07421875,0.625,1,+0.0781 / -0.1562 / -0.0391 / +0.0938 / -0.0312 / +0.0391 / +0.0000 / +0.0625 / +0.0469 / +0.1797 / +0.0781 / +0.1562 / +0.1250 / -0.1797 / -0.0703 / +0.0703
combined,accuracy,metadata-driven comp=0.27/p4 vs no compensation comp=0.00/p4,metadata,no_comp,16,0.92724609375,0.05832185178114882,0.87060546875,0.0684783191386682,0.056640625,0.06984800276016011,0.001180085027875144,0.0179443359375,0.022705078125,0.089599609375,0.6875,1,+0.0938 / -0.0977 / -0.0078 / -0.0039 / -0.0195 / +0.0430 / +0.0703 / +0.0664 / +0.0820 / +0.0938 / +0.1328 / +0.0859 / +0.0938 / +0.1992 / +0.0000 / +0.0742
combined,f1,metadata-driven comp=0.27/p4 vs no compensation comp=0.00/p4,metadata,no_comp,16,0.9250850234992086,0.06125525130567648,0.8740859694423831,0.06006038791222351,0.050999054056825525,0.06619941701608291,0.002059321297013028,0.01806640625,0.017704125599874186,0.0808020812990072,0.6875,1,+0.0919 / -0.1090 / -0.0119 / -0.0047 / -0.0309 / +0.0466 / +0.0665 / +0.0684 / +0.0790 / +0.0943 / +0.1315 / +0.0859 / +0.0885 / +0.1476 / +0.0000 / +0.0723
combined,precision,metadata-driven comp=0.27/p4 vs no compensation comp=0.00/p4,metadata,no_comp,16,0.9422950252682298,0.05388332725172452,0.8618733976563834,0.0747057933467803,0.08042162761184646,0.07714669719308394,3.048633779734189e-05,0.00042724609375,0.04539851602561651,0.11938611855963271,0.875,1,+0.1128 / -0.0429 / +0.0338 / +0.0060 / +0.0713 / +0.0011 / +0.1177 / +0.0498 / +0.0943 / +0.1210 / +0.1459 / +0.0714 / +0.1418 / +0.2808 / +0.0000 / +0.0818
combined,recall,metadata-driven comp=0.27/p4 vs no compensation comp=0.00/p4,metadata,no_comp,16,0.91015625,0.07744495693178909,0.888671875,0.054013706304511265,0.021484375,0.08285179885142306,0.29962233260479154,0.1925048828125,-0.0205078125,0.0576171875,0.6875,1,+0.0703 / -0.1797 / -0.0547 / -0.0156 / -0.1250 / +0.0938 / +0.0156 / +0.0859 / +0.0625 / +0.0703 / +0.1172 / +0.1016 / +0.0312 / +0.0078 / +0.0000 / +0.0625
combined,accuracy,activation-derived comp=0.27/p4 vs no compensation comp=0.00/p4,activation,no_comp,16,0.875732421875,0.05428083077552323,0.87060546875,0.0684783191386682,0.005126953125,0.07713854762558832,0.7903494460348262,0.90167236328125,-0.027587890625,0.045166015625,0.5,1,+0.0117 / +0.0508 / -0.0273 / -0.0273 / -0.0117 / +0.0352 / +0.0391 / +0.0078 / -0.0391 / -0.1211 / +0.0195 / -0.0391 / -0.0742 / +0.2422 / +0.0156 / +0.0000
combined,f1,activation-derived comp=0.27/p4 vs no compensation comp=0.00/p4,activation,no_comp,16,0.8768456263585674,0.053186102403592436,0.8740859694423831,0.06006038791222351,0.0027596569161843013,0.0705893625447703,0.8757350289514576,0.93988037109375,-0.027900949377498513,0.03894105691827185,0.5,0,+0.0098 / +0.0435 / -0.0259 / -0.0352 / -0.0198 / +0.0370 / +0.0365 / +0.0093 / -0.0298 / -0.1200 / +0.0218 / -0.0416 / -0.0739 / +0.2105 / +0.0231 / -0.0013
combined,precision,activation-derived comp=0.27/p4 vs no compensation comp=0.00/p4,activation,no_comp,16,0.8740793311717978,0.06734966264385173,0.8618733976563834,0.0747057933467803,0.012205933515414429,0.0803020142377456,0.5431865702884289,0.860260009765625,-0.023713409421352638,0.05250876030973662,0.5625,0,+0.0268 / +0.1055 / -0.0357 / +0.0491 / +0.0564 / +0.0189 / +0.0562 / -0.0059 / -0.0666 / -0.1310 / +0.0057 / -0.0287 / -0.0567 / +0.2244 / -0.0282 / +0.0050
combined,recall,activation-derived comp=0.27/p4 vs no compensation comp=0.00/p4,activation,no_comp,16,0.8818359375,0.05647200115156625,0.888671875,0.054013706304511265,-0.0068359375,0.07759586434896193,0.7245482805148515,0.6590576171875,-0.0419921875,0.03173828125,0.4375,0,-0.0078 / -0.0234 / -0.0156 / -0.1094 / -0.0938 / +0.0547 / +0.0156 / +0.0234 / +0.0156 / -0.1094 / +0.0391 / -0.0547 / -0.0938 / +0.1875 / +0.0703 / -0.0078
