comp,label,n_runs,selection_score,val_accuracy_mean,val_accuracy_std,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_f1_mean,test_f1_std
015,"comp=0.15, clip=[0.85,1.30], patience=4",10,0.8754621164812296,0.8890625,0.027200767037540607,0.876953125,0.03674782758247418,0.828125,0.93359375,0.8791059662759514,0.03554452392656884
020,"comp=0.20, clip=[0.80,1.35], patience=4",10,0.8841145833333334,0.89453125,0.020833333333333332,0.880078125,0.0419525511418439,0.8203125,0.94921875,0.8794303343322196,0.04241502040881037
025,"comp=0.25, clip=[0.75,1.40], patience=4",10,0.8442115268202636,0.86796875,0.04751444635947284,0.85,0.06110642540432589,0.73046875,0.921875,0.8467992324106309,0.06837157254949115
027,"comp=0.27, clip=[0.73,1.42], patience=4",10,0.8888817255666253,0.900390625,0.023017798866749595,0.88125,0.04138904910017464,0.82421875,0.9609375,0.8862785564493737,0.03786125250936824
